Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);
ALZR11;FII ALIANZA;CI;5.922.011;0,749;
ARCT11;FII ARCTIUM;CI;4.375.573;0,508;
BARI11;FII BARIGUI;CI  ER;4.634.191;0,505;
BBPO11;FII BB PRGII;CI  ER;15.919.690;1,373;
BCFF11;FII BC FFII;CI;25.186.378;1,745;
BRCR11;FII BC FUND;CI;26.638.202;1,756;
BCRI11;FII BEES CRI;CI  ER;6.257.873;0,733;
BRCO11;FII BRESCO;CI  ER;14.778.781;1,581;
BTLG11;FII BTLG;CI;16.728.960;1,809;
CPFF11;FII CAP REIT;CI;5.449.778;0,411;
CPTS11;FII CAPI SEC;CI;31.272.629;3,089;
HGCR11;FII CSHG CRI;CI  ER;14.341.729;1,623;
HGLG11;FII CSHG LOG;CI  ER;25.159.813;4,406;
HGRU11;FII CSHG URB;CI  ER;18.406.458;2,357;
DEVA11;FII DEVANT;CI;13.905.815;1,514;
VRTA11;FII FATOR VE;CI  ER;13.152.584;1,392;
GTWR11;FII G TOWERS;CI  ER;12.000.000;0,925;
GGRC11;FII GGRCOVEP;CI  ER;9.635.834;1,143;
HABT11;FII HABIT II;CI  ER;7.422.668;0,809;
HCTR11;FII HECTARE;CI;22.084.202;2,730;
HGBS11;FII HEDGEBS;CI  ER;10.000.000;1,867;
HGRE11;FII HG REAL;CI  ER;11.817.767;1,681;
HSML11;FII HSI MALL;CI  ER;15.780.613;1,326;
HFOF11;FII HTOPFOF3;CI  ER;24.000.000;1,790;
IRDM11;FII IRIDIUM;CI;33.044.581;3,672;
JSRE11;FII JS REAL;CI  ER;20.767.328;1,759;
KISU11;FII KILIMA;CI  ER;44.196.050;0,362;
KNRI11;FII KINEA;CI  ER;24.157.121;3,437;
KNHY11;FII KINEA HY;CI  ER;18.490.843;2,039;
KNIP11;FII KINEA IP;CI  ER;71.134.764;7,662;
KNCR11;FII KINEA RI;CI  ER;39.097.087;4,275;
KNSC11;FII KINEA SC;CI  ER;13.275.794;1,328;
MALL11;FII MALLS BP;CI  ER;7.560.351;0,831;
MCCI11;FII MAUA;CI;15.917.281;1,696;
MXRF11;FII MAXI REN;CI  ER;226.039.663;2,358;
MGFF11;FII MOGNO;CI;9.050.620;0,587;
PATL11;FII PATR LOG;CI  ER;4.991.535;0,407;
RBRP11;FII RBR PROP;CI;12.179.186;0,775;
RBRF11;FII RBRALPHA;CI;13.680.770;1,026;
RBRR11;FII RBRHGRAD;CI;13.438.907;1,451;
RECR11;FII REC RECE;CI;26.810.960;2,916;
RECT11;FII REC REND;CI;8.530.224;0,532;
RBVA11;FII RIOB VA;CI  ER;11.588.199;1,122;
RZAK11;FII RIZA AKN;CI;4.593.752;0,484;
RZTR11;FII RIZA TX;CI  ER;13.953.869;1,508;
SARE11;FII SANT REN;CI  ER;9.234.329;0,703;
SDIL11;FII SDI LOG;CI  ER;6.395.050;0,607;
SNFF11;FII SUNOFOFI;CI;2.500.000;0,243;
TGAR11;FII TG ATIVO;CI  ER;11.309.571;1,402;
TORD11;FII TORDE EI;CI;35.051.354;0,334;
TRXF11;FII TRX REAL;CI  ERS;8.063.223;0,860;
URPR11;FII URCA REN;CI  ER;10.018.728;1,178;
VGHF11;FII VALOR HE;CI  ER;91.669.473;0,977;
VGIP11;FII VALORAIP;CI;11.949.859;1,268;
CVBI11;FII VBI CRI;CI;11.518.411;1,252;
LVBI11;FII VBI LOG;CI  ER;11.775.177;1,305;
PVBI11;FII VBI PRI;CI  ER;10.039.493;0,998;
VSLH11;FII VERS CRI;CI;29.864.091;0,301;
VILG11;FII VINCI LG;CI  ER;14.997.396;1,551;
VINO11;FII VINCI OF;CI  ER;16.565.259;0,805;
VISC11;FII VINCI SC;CI  ER;17.696.234;1,931;
XPCI11;FII XP CRED;CI  ER;8.467.976;0,859;
XPLG11;FII XP LOG;CI  ER;27.101.061;2,752;
XPML11;FII XP MALLS;CI;18.681.577;1,915;
XPPR11;FII XP PROP;CI  ER;7.316.171;0,378;
XPSF11;FII XP SELEC;CI  ER;43.302.140;0,332;
